STOCK,PRICE,TIME
FSLY,99.84,2020-07-09 16:33:34.910473
TTD,452.45,2020-07-09 16:33:35.794562
PLUG,8.64,2020-07-09 16:33:36.672429
DOCU,211.46,2020-07-09 16:33:37.402768
AMZN,3098.44,2020-07-09 16:33:38.193196
OSTK,43.8,2020-07-09 16:35:06.153444
ZM,266.4,2020-07-09 16:35:06.999906
TSLA,1372.6,2020-07-09 16:35:07.974880
CLDR,12.08,2020-07-09 16:35:08.785467
FREQ,22.23,2020-07-09 16:35:09.616669
FSLY,99.89,2020-07-09 16:35:10.439121
TTD,452.16,2020-07-09 16:35:11.215720
PLUG,8.65,2020-07-09 16:35:12.409103
DOCU,211.72,2020-07-09 16:35:13.194553
AMZN,3103.04,2020-07-09 16:35:14.099959
OSTK,44.85,2020-07-09 18:36:50.806695
ZM,270.46,2020-07-09 18:36:52.915544
TSLA,1379.21,2020-07-09 18:36:53.811997
CLDR,12.2,2020-07-09 18:36:54.578205
FREQ,22.56,2020-07-09 18:36:55.409192
FSLY,100.95,2020-07-09 18:36:56.200929
TTD,462.04,2020-07-09 18:36:56.992881
PLUG,8.72,2020-07-09 18:36:58.522859
DOCU,213.74,2020-07-09 18:36:59.296278
AMZN,3129.75,2020-07-09 18:37:00.204760
OSTK,44.8,2020-07-09 18:39:14.865097
ZM,270.23,2020-07-09 18:39:15.713125
TSLA,1378.18,2020-07-09 18:39:16.478509
CLDR,12.23,2020-07-09 18:39:17.235568
FREQ,22.56,2020-07-09 18:39:18.039791
FSLY,100.9,2020-07-09 18:39:18.764637
TTD,461.4,2020-07-09 18:39:19.435779
PLUG,8.72,2020-07-09 18:39:20.335829
DOCU,213.67,2020-07-09 18:39:21.140734
AMZN,3127.26,2020-07-09 18:39:21.902758
OSTK,44.89,2020-07-09 18:41:25.389281
ZM,270.2,2020-07-09 18:41:26.356268
TSLA,1378.16,2020-07-09 18:41:27.156999
CLDR,12.23,2020-07-09 18:41:28.011189
FREQ,22.56,2020-07-09 18:41:28.752066
FSLY,100.54,2020-07-09 18:41:34.661312
TTD,461.08,2020-07-09 18:41:35.454024
PLUG,8.72,2020-07-09 18:41:36.313936
DOCU,212.9,2020-07-09 18:41:37.189587
AMZN,3127.41,2020-07-09 18:41:38.115447
OSTK,44.84,2020-07-09 18:48:12.998041
ZM,270.48,2020-07-09 18:48:13.841774
TSLA,1377.0,2020-07-09 18:48:14.671707
CLDR,12.22,2020-07-09 18:48:15.443360
FREQ,22.56,2020-07-09 18:48:16.235256
FSLY,100.64,2020-07-09 18:48:17.032082
TTD,460.9,2020-07-09 18:48:17.782704
PLUG,8.73,2020-07-09 18:48:18.494607
DOCU,212.71,2020-07-09 18:48:19.952664
AMZN,3123.45,2020-07-09 18:48:21.009336
AVLR,138.63,2020-07-09 18:48:21.805722
OSTK,44.82,2020-07-09 19:03:40.720484
ZM,270.93,2020-07-09 19:03:41.731345
TSLA,1375.69,2020-07-09 19:03:42.683426
CLDR,12.18,2020-07-09 19:03:43.515249
FREQ,22.38,2020-07-09 19:03:44.254096
FSLY,101.75,2020-07-09 19:03:44.996417
